CaseID,Activity,EventType,Resource,Timestamp
1,Auf Vollständigkeit prüfen,start,Sachbearbeiter_#0,2017-10-02T03:00:00
1,Auf Vollständigkeit prüfen,complete,Sachbearbeiter_#0,2017-10-02T03:09:34
1,Weitere Informationen einholen,start,Sachbearbeiter_#0,2017-10-03T06:28:50
1,Weitere Informationen einholen,complete,Sachbearbeiter_#0,2017-10-03T08:28:50
1,Antrag prüfen,start,Manager_#0,2017-10-03T08:28:50
1,Antrag prüfen,complete,Manager_#0,2017-10-03T09:28:50
2,Auf Vollständigkeit prüfen,start,Sachbearbeiter_#0,2017-10-02T03:09:34
2,Auf Vollständigkeit prüfen,complete,Sachbearbeiter_#0,2017-10-02T03:21:56
2,Weitere Informationen einholen,start,Sachbearbeiter_#0,2017-10-03T08:28:50
2,Weitere Informationen einholen,complete,Sachbearbeiter_#0,2017-10-03T10:28:50
2,Antrag prüfen,start,Manager_#0,2017-10-03T10:28:50
2,Antrag prüfen,complete,Manager_#0,2017-10-04T03:28:50
3,Auf Vollständigkeit prüfen,start,Sachbearbeiter_#0,2017-10-02T03:21:56
3,Auf Vollständigkeit prüfen,complete,Sachbearbeiter_#0,2017-10-02T03:47:50
3,Auf Vollständigkeit prüfen,start,Sachbearbeiter_#0,2017-10-19T05:25:10
3,Auf Vollständigkeit prüfen,complete,Sachbearbeiter_#0,2017-10-19T05:25:29
3,Weitere Informationen einholen,start,Sachbearbeiter_#0,2017-11-06T05:32:48
3,Weitere Informationen einholen,complete,Sachbearbeiter_#0,2017-11-06T07:32:48
3,Antrag prüfen,start,Manager_#0,2017-11-06T07:32:48
3,Antrag prüfen,complete,Manager_#0,2017-11-06T08:32:48
4,Auf Vollständigkeit prüfen,start,Sachbearbeiter_#0,2017-10-02T03:47:50
4,Auf Vollständigkeit prüfen,complete,Sachbearbeiter_#0,2017-10-02T03:52:05
4,Weitere Informationen einholen,start,Sachbearbeiter_#0,2017-10-03T10:44:41
4,Weitere Informationen einholen,complete,Sachbearbeiter_#0,2017-10-04T04:44:41
4,Antrag prüfen,start,Manager_#0,2017-10-04T04:44:41
4,Antrag prüfen,complete,Manager_#0,2017-10-04T05:44:41
5,Auf Vollständigkeit prüfen,start,Sachbearbeiter_#0,2017-10-02T03:52:05
5,Auf Vollständigkeit prüfen,complete,Sachbearbeiter_#0,2017-10-02T04:32:23
5,Auf Vollständigkeit prüfen,start,Sachbearbeiter_#0,2017-10-19T05:25:29
5,Auf Vollständigkeit prüfen,complete,Sachbearbeiter_#0,2017-10-19T05:29:45
5,Weitere Informationen einholen,start,Sachbearbeiter_#0,2017-11-06T07:32:48
5,Weitere Informationen einholen,complete,Sachbearbeiter_#0,2017-11-06T09:32:48
5,Antrag prüfen,start,Manager_#0,2017-11-06T09:32:48
5,Antrag prüfen,complete,Manager_#0,2017-11-07T02:32:48
5,Auf Vollständigkeit prüfen,start,Sachbearbeiter_#0,2017-11-15T09:27:56
5,Auf Vollständigkeit prüfen,complete,Sachbearbeiter_#0,2017-11-15T09:47:28
5,Weitere Informationen einholen,start,Sachbearbeiter_#0,2017-11-22T08:44:16
5,Weitere Informationen einholen,complete,Sachbearbeiter_#0,2017-11-23T02:44:16
5,Antrag prüfen,start,Manager_#0,2017-11-23T02:44:16
5,Antrag prüfen,complete,Manager_#0,2017-11-23T03:44:16
5,Auf Vollständigkeit prüfen,start,Sachbearbeiter_#0,2017-11-29T07:54:13
5,Auf Vollständigkeit prüfen,complete,Sachbearbeiter_#0,2017-11-29T07:58:47
5,Weitere Informationen einholen,start,Sachbearbeiter_#0,2017-12-01T05:22:01
5,Weitere Informationen einholen,complete,Sachbearbeiter_#0,2017-12-01T07:22:01
5,Antrag prüfen,start,Manager_#0,2017-12-01T07:22:01
5,Antrag prüfen,complete,Manager_#0,2017-12-01T08:22:01
6,Auf Vollständigkeit prüfen,start,Sachbearbeiter_#0,2017-10-02T04:32:23
6,Auf Vollständigkeit prüfen,complete,Sachbearbeiter_#0,2017-10-02T04:34:13
6,Weitere Informationen einholen,start,Sachbearbeiter_#0,2017-10-04T05:11:25
6,Weitere Informationen einholen,complete,Sachbearbeiter_#0,2017-10-04T07:11:25
6,Antrag prüfen,start,Manager_#0,2017-10-04T07:11:25
6,Antrag prüfen,complete,Manager_#0,2017-10-04T08:11:25
6,Auf Vollständigkeit prüfen,start,Sachbearbeiter_#0,2017-10-23T06:22:48
6,Auf Vollständigkeit prüfen,complete,Sachbearbeiter_#0,2017-10-23T06:32:06
6,Weitere Informationen einholen,start,Sachbearbeiter_#0,2017-11-08T04:27:54
6,Weitere Informationen einholen,complete,Sachbearbeiter_#0,2017-11-08T06:27:54
6,Antrag prüfen,start,Manager_#0,2017-11-08T06:27:54
6,Antrag prüfen,complete,Manager_#0,2017-11-08T07:27:54
7,Auf Vollständigkeit prüfen,start,Sachbearbeiter_#0,2017-10-02T04:34:13
7,Auf Vollständigkeit prüfen,complete,Sachbearbeiter_#0,2017-10-02T04:45:47
7,Weitere Informationen einholen,start,Sachbearbeiter_#0,2017-10-04T07:11:25
7,Weitere Informationen einholen,complete,Sachbearbeiter_#0,2017-10-04T09:11:25
7,Antrag prüfen,start,Manager_#0,2017-10-04T09:11:25
7,Antrag prüfen,complete,Manager_#0,2017-10-04T10:11:25
